params,games,time
10_0.75_0.75_1_[2]_proportional_averaging,170,1573.2944085597992
10_0.75_0.75_1_[4]_proportional_averaging,586,23263.611103773117
10_0.75_0.75_1_[6]_proportional_averaging,451,11357.626502990723
10_0.75_0.75_1_[2.2]_proportional_averaging,322,401.4032874107361
10_0.75_0.75_1_[4.4]_proportional_averaging,64,80.31418514251709
10_0.75_0.75_1_[6.6]_proportional_averaging,626,1124.9330365657806
10_0.75_0.75_1_[2.6]_proportional_averaging,156,168.8307614326477
10_0.75_0.75_1_[2.4]_proportional_averaging,339,3262.328062772751
10_0.75_0.75_1_[4.6]_proportional_averaging,209,153.36038064956665
10_0.75_0.75_1_[4.2]_proportional_averaging,77,60.76999592781067
10_0.75_0.75_1_[6.4]_proportional_averaging,102,132.2397804260254
10_0.75_0.75_1_[6.2]_proportional_averaging,282,448.9820442199707
10_0.75_0.75_1_[2]_proportional_averaging,7,22.843010902404785
10_0.75_0.75_1_[4]_proportional_averaging,270,321.0383098125458
10_0.75_0.75_1_[6]_proportional_averaging,404,1028.8209819793701
10_0.75_0.75_1_[2.2]_proportional_averaging,162,532.7936370372772
10_0.75_0.75_1_[4.4]_proportional_averaging,153,207.76789736747742
10_0.75_0.75_1_[6.6]_proportional_averaging,224,180.59311509132385
10_0.75_0.75_1_[2.6]_proportional_averaging,1000,2694.831684112549
10_0.75_0.75_1_[2.4]_proportional_averaging,239,416.11990427970886
10_0.75_0.75_1_[4.6]_proportional_averaging,38,40.251879930496216
10_0.75_0.75_1_[4.2]_proportional_averaging,398,3121.494710922241
10_0.75_0.75_1_[6.4]_proportional_averaging,227,222.6169295310974
10_0.75_0.75_1_[6.2]_proportional_averaging,501,706.0561563968658
10_0.75_0.75_1_[2]_proportional_averaging,420,1224.7568781375885
10_0.75_0.75_1_[4]_proportional_averaging,541,1125.4816455841064
10_0.75_0.75_1_[6]_proportional_averaging,319,427.24049139022827
10_0.75_0.75_1_[2.2]_proportional_averaging,20,24.867132902145386
10_0.75_0.75_1_[4.4]_proportional_averaging,93,68.30401492118835
10_0.75_0.75_1_[6.6]_proportional_averaging,1000,1069.8617753982544
10_0.75_0.75_1_[2.6]_proportional_averaging,1000,940.6331639289856
10_0.75_0.75_1_[2.4]_proportional_averaging,777,3028.4069917201996
10_0.75_0.75_1_[4.6]_proportional_averaging,566,968.478394985199
10_0.75_0.75_1_[4.2]_proportional_averaging,140,127.73216009140015
10_0.75_0.75_1_[6.4]_proportional_averaging,931,2396.4168293476105
10_0.75_0.75_1_[6.2]_proportional_averaging,304,447.6810884475708
10_0.75_0.75_1_[2]_proportional_averaging,695,1019.1425404548645
10_0.75_0.75_1_[4]_proportional_averaging,505,589.5537638664246
10_0.75_0.75_1_[6]_proportional_averaging,53,59.28125190734863
10_0.75_0.75_1_[2.2]_proportional_averaging,191,283.1243703365326
10_0.75_0.75_1_[4.4]_proportional_averaging,117,98.68337297439575
10_0.75_0.75_1_[6.6]_proportional_averaging,35,31.097109079360962
10_0.75_0.75_1_[2.6]_proportional_averaging,369,515.0279562473297
10_0.75_0.75_1_[2.4]_proportional_averaging,193,508.4720275402069
10_0.75_0.75_1_[4.6]_proportional_averaging,279,515.8058269023895
10_0.75_0.75_1_[4.2]_proportional_averaging,379,615.9506726264954
10_0.75_0.75_1_[6.4]_proportional_averaging,418,403.67787647247314
10_0.75_0.75_1_[6.2]_proportional_averaging,425,517.1781570911407
10_0.75_0.75_1_[2]_proportional_averaging,105,103.97704362869263
10_0.75_0.75_1_[4]_proportional_averaging,195,265.3702051639557
10_0.75_0.75_1_[6]_proportional_averaging,939,1837.4827857017517
10_0.75_0.75_1_[2.2]_proportional_averaging,146,135.0966329574585
10_0.75_0.75_1_[4.4]_proportional_averaging,234,395.59201979637146
10_0.75_0.75_1_[6.6]_proportional_averaging,25,24.909488916397095
10_0.75_0.75_1_[2.6]_proportional_averaging,299,316.39064717292786
10_0.75_0.75_1_[2.4]_proportional_averaging,538,1048.5109446048737
10_0.75_0.75_1_[4.6]_proportional_averaging,60,74.86870217323303
10_0.75_0.75_1_[4.2]_proportional_averaging,602,743.980535030365
10_0.75_0.75_1_[6.4]_proportional_averaging,116,113.05737733840942
10_0.75_0.75_1_[6.2]_proportional_averaging,486,1507.0883555412292
