params,games,time
100_0.75_0.75_1_[2]_proportional_averaging,324,394.3074805736542
200_0.75_0.75_1_[2]_proportional_averaging,564,478.33456158638
300_0.75_0.75_1_[2]_proportional_averaging,361,173.61986184120178
400_0.75_0.75_1_[2]_proportional_averaging,89,58.00945281982422
500_0.75_0.75_1_[2]_proportional_averaging,679,412.16671228408813
600_0.75_0.75_1_[2]_proportional_averaging,388,206.0089647769928
700_0.75_0.75_1_[2]_proportional_averaging,963,473.44095182418823
800_0.75_0.75_1_[2]_proportional_averaging,201,122.41992115974426
900_0.75_0.75_1_[2]_proportional_averaging,174,103.33148789405823
1000_0.75_0.75_1_[2]_proportional_averaging,1145,598.8466534614563
100_0.75_0.75_1_[2]_proportional_averaging,259,166.55427432060242
200_0.75_0.75_1_[2]_proportional_averaging,134,1028.335849761963
300_0.75_0.75_1_[2]_proportional_averaging,626,2050.7566998004913
400_0.75_0.75_1_[2]_proportional_averaging,750,462.839581489563
500_0.75_0.75_1_[2]_proportional_averaging,137,89.61092948913574
600_0.75_0.75_1_[2]_proportional_averaging,192,113.54396200180054
700_0.75_0.75_1_[2]_proportional_averaging,397,209.02390956878662
800_0.75_0.75_1_[2]_proportional_averaging,319,177.53510355949402
900_0.75_0.75_1_[2]_proportional_averaging,667,345.9495527744293
1000_0.75_0.75_1_[2]_proportional_averaging,714,385.089467048645
100_0.75_0.75_1_[2]_proportional_averaging,151,112.30351853370667
200_0.75_0.75_1_[2]_proportional_averaging,231,157.09407496452332
300_0.75_0.75_1_[2]_proportional_averaging,663,487.8692831993103
400_0.75_0.75_1_[2]_proportional_averaging,431,252.29185509681702
500_0.75_0.75_1_[2]_proportional_averaging,418,207.70985865592957
600_0.75_0.75_1_[2]_proportional_averaging,815,488.6455476284027
700_0.75_0.75_1_[2]_proportional_averaging,1089,666.755690574646
800_0.75_0.75_1_[2]_proportional_averaging,44,37.47734832763672
900_0.75_0.75_1_[2]_proportional_averaging,610,314.1236824989319
1000_0.75_0.75_1_[2]_proportional_averaging,27,28.148595571517944
100_0.75_0.75_1_[2]_proportional_averaging,155,100.86051273345947
200_0.75_0.75_1_[2]_proportional_averaging,451,265.71670627593994
300_0.75_0.75_1_[2]_proportional_averaging,531,508.6428186893463
400_0.75_0.75_1_[2]_proportional_averaging,462,1204.306871175766
500_0.75_0.75_1_[2]_proportional_averaging,416,207.9000940322876
600_0.75_0.75_1_[2]_proportional_averaging,345,193.54297423362732
700_0.75_0.75_1_[2]_proportional_averaging,211,111.94196939468384
800_0.75_0.75_1_[2]_proportional_averaging,173,96.0030026435852
900_0.75_0.75_1_[2]_proportional_averaging,24,45.44427275657654
1000_0.75_0.75_1_[2]_proportional_averaging,717,397.57973980903625
100_0.75_0.75_1_[2]_proportional_averaging,244,211.95199513435364
200_0.75_0.75_1_[2]_proportional_averaging,172,104.9056658744812
300_0.75_0.75_1_[2]_proportional_averaging,863,678.0807619094849
400_0.75_0.75_1_[2]_proportional_averaging,222,121.7012107372284
500_0.75_0.75_1_[2]_proportional_averaging,732,468.14260053634644
600_0.75_0.75_1_[2]_proportional_averaging,377,218.87876653671265
700_0.75_0.75_1_[2]_proportional_averaging,1601,1065.8257973194122
800_0.75_0.75_1_[2]_proportional_averaging,322,179.02141737937927
900_0.75_0.75_1_[2]_proportional_averaging,950,472.424663066864
1000_0.75_0.75_1_[2]_proportional_averaging,526,263.86323404312134
