generation,best_fitness,mean_fitness
0,315.0,86.39999999999999,5.0
1,496.0,124.10000000000001,5.0
2,1382.0,324.40000000000003,5.0
3,388.0,111.30000000000001,4.0
4,469.0,132.1,4.0
5,486.0,204.90000000000003,4.0
6,501.0,210.6,4.0
7,585.0,249.5,4.0
8,1065.0,348.6,4.0
9,587.0,209.29999999999998,4.0
10,600.0,264.8,4.0
11,733.0,255.4,4.0
12,731.0,264.0,4.0
13,525.0,241.20000000000002,4.0
14,650.0,282.0,4.0
15,575.0,272.90000000000003,4.0
16,852.0,352.40000000000003,4.0
17,1281.0,390.2,4.0
18,1611.0,556.4,4.0
19,361.0,93.3,2.0
20,201.0,79.2,2.0
21,283.0,119.7,2.0
22,458.0,211.0,2.0
23,500.0,182.9,2.0
24,406.0,268.1,2.0
25,509.0,284.3,2.0
26,469.0,217.2,2.0
27,953.0,366.8,2.0
28,898.0,364.0,2.0
29,1108.0,410.0,2.0
30,1115.0,447.1,2.0
31,123.0,71.5,1
32,103.0,69.3,1
33,150.0,75.6,1
34,165.0,87.1,1
35,204.0,72.9,1
36,178.0,86.1,1
37,236.0,104.6,1
38,159.0,78.9,1
39,142.0,69.7,1
40,143.0,81.0,1
41,248.0,89.0,1
42,143.0,71.8,1
43,115.0,77.2,1
44,111.0,53.0,1
45,801.0,165.8,1
46,310.0,95.3,1
47,1000.0,185.4,1
