---------------------- 500 rewards
games,time
1000,-1643233860.4508731
1000,-1643234433.4191797
132,25.06038188934326
1000,-1643234545.4911516
114,21.811817407608032
120,25.066065311431885
161,40.775049686431885
129,25.867453575134277
110,14.277623176574707
130,25.06719207763672
120,19.850440979003906
163,34.621745347976685
163,29.848633289337158
143,31.982948064804077
250,109.70494961738586
123,18.869997024536133
---------------------- 1000 rewards
games,start_time,stop_time,time
142,1643291548.5182095,1643291634.1421058,85.62389636039734
187,1643293552.4302256,1643293702.6844745,150.25424885749817
128,1643293703.6324801,1643293750.3250706,46.6925904750824
161,1643293751.2380865,1643293831.9665246,80.72843813896179
135,1643293832.999934,1643293891.4222372,58.422303199768066
172,1643293892.4961805,1643293973.525109,81.02892851829529
159,1643293974.3811488,1643294058.251857,83.87070822715759
137,1643294059.1704228,1643294125.0587852,65.88836240768433
150,1643294126.3960042,1643294199.4636774,73.06767320632935
169,1643294872.1876755,1643294989.8895557,117.70188021659851
146,1643294991.1288722,1643295118.5539424,127.42507028579712
1000,1643295120.2352514,-1,-1643295121.2352514
163,1643296375.7022552,1643296513.7883532,138.08609795570374
147,1643296515.2261343,1643296619.7417877,104.51565337181091
146,1643296620.9660642,1643296741.974636,121.00857186317444
137,1643296743.663462,1643296855.1561804,111.49271845817566
1000,1643296856.3883152,-1,-1643296857.3883152
136,1643298762.530453,1643298860.643259,98.11280608177185
161,1643298862.1388469,1643299029.5810137,167.44216680526733
140,1643303200.5363922,1643303268.2066891,67.67029690742493
---------
130,1643303953.0373535,1643303998.4589486,45.421595096588135
144,1643304052.5977402,1643304115.3604774,62.76273727416992
132,1643304116.687415,1643304174.3530731,57.66565823554993
172,1643304175.2815852,1643304252.3677294,77.08614420890808
148,1643304253.299475,1643304333.9855428,80.68606781959534
139,1643304335.0919702,1643304458.9831789,123.89120864868164
182,1643304460.082863,1643304574.6828337,114.59997057914734
196,1643304575.70717,1643304745.628857,169.9216868877411
157,1643304747.307379,1643304859.4902384,112.18285942077637
1000,1643304860.6194668,1643305563.8317251,703.2122583389282
143,1643305564.5206802,1643305623.4084158,58.88773560523987
